CPT Code,State,5th %ile,10th %ile,25th %ile,50th %ile,75th %ile,90th %ile,95th %ile
97157,MA,$15.41,$16.08,$16.41,$17.32,$18.66,$21.30,$21.95
97157,MD,$14.70,$14.70,$14.70,$14.70,$17.86,$21.32,$23.25
97157,ME,$13.04,$13.04,$13.04,$13.04,$13.04,$14.54,$14.54
97157,MI,$14.69,$14.70,$14.70,$14.89,$17.38,$18.80,$20.63
97157,MN,$11.42,$12.54,$13.33,$14.40,$14.40,$14.40,$14.40
97157,MO,$14.15,$14.53,$14.70,$14.94,$15.68,$16.98,$17.31
97157,MS,$13.85,$13.85,$13.85,$13.85,$14.09,$14.19,$14.76
97157,MT,$11.51,$11.51,$11.51,$13.04,$13.50,$13.50,$13.50
97157,NC,$12.53,$14.70,$15.69,$15.93,$17.65,$19.80,$20.80
97157,ND,$7.09,$7.09,$7.09,$8.54,$9.40,$9.40,$9.40
97157,NE,$14.70,$14.70,$14.70,$15.18,$18.32,$23.54,$23.54
97157,NH,$15.22,$15.36,$15.85,$17.08,$17.78,$19.73,$21.39
97157,NJ,$14.69,$14.69,$14.70,$14.70,$16.18,$18.64,$21.90
97157,NM,$14.78,$15.19,$15.19,$15.69,$16.98,$17.13,$18.86
97157,NV,$15.03,$15.43,$15.43,$15.68,$15.88,$16.61,$18.01
97157,NY,$16.58,$16.82,$17.59,$20.48,$22.48,$22.48,$23.40
97157,OH,$12.65,$12.65,$12.65,$12.65,$16.78,$19.23,$20.46
97157,OK,$15.19,$15.19,$15.19,$15.22,$15.70,$15.83,$16.17
97157,OR,$13.95,$13.95,$14.66,$14.91,$15.10,$18.21,$18.21
97157,PA,$15.05,$15.24,$16.01,$16.47,$17.53,$19.47,$20.48
97157,RI,$13.72,$14.70,$14.95,$15.20,$17.32,$18.04,$21.61
97157,SC,$13.87,$13.87,$14.70,$14.70,$16.17,$17.35,$18.01
97157,SD,$10.70,$10.70,$10.70,$13.70,$14.48,$17.90,$17.90
97157,TN,$13.94,$13.94,$13.94,$15.03,$16.78,$18.64,$19.84
97157,TX,$14.66,$14.66,$15.03,$15.43,$17.07,$19.31,$21.67
97157,UT,$9.98,$14.08,$14.95,$15.68,$16.37,$17.55,$17.97
97157,VA,$14.70,$14.70,$14.70,$14.70,$15.69,$18.40,$19.42
97157,VT,$20.16,$20.16,$20.16,$21.00,$21.00,$24.75,$26.75
97157,WA,$14.70,$14.70,$15.03,$15.34,$15.58,$18.64,$21.06
97157,WI,$13.95,$13.95,$14.03,$15.18,$16.37,$17.44,$18.10
97157,WV,$18.15,$18.15,$18.15,$18.15,$18.15,$18.15,$18.15
97158,AK,$14.42,$14.42,$14.42,$14.42,$15.04,$17.08,$17.08
97158,AL,$12.30,$12.30,$12.30,$12.98,$15.12,$19.65,$20.04
97158,AR,$12.11,$12.11,$12.11,$12.11,$13.61,$15.45,$15.45
97158,AZ,$8.69,$8.69,$8.69,$13.29,$15.29,$17.21,$18.21
97158,CA,$13.61,$13.95,$15.48,$15.82,$17.35,$18.87,$19.34
97158,CO,$8.82,$8.82,$8.82,$13.24,$14.88,$16.70,$18.43
97158,CT,$13.61,$13.61,$13.61,$15.16,$15.96,$17.68,$18.52
97158,DC,$19.00,$19.00,$19.00,$19.00,$20.98,$20.98,$20.98
97158,DE,$13.45,$13.45,$13.61,$13.61,$13.61,$13.61,$13.61
97158,FL,$13.27,$13.61,$13.80,$13.80,$14.15,$15.79,$16.55
97158,GA,$13.27,$13.27,$13.27,$13.61,$15.47,$17.40,$19.48
97158,HI,$13.61,$13.61,$13.61,$14.09,$14.09,$14.09,$14.44
97158,IA,$10.46,$10.46,$13.28,$13.96,$14.47,$18.77,$19.53
97158,ID,$8.69,$12.48,$12.83,$13.96,$14.02,$14.62,$15.82
97158,IL,$12.53,$13.45,$13.61,$13.96,$14.29,$15.85,$16.80
97158,IN,$12.53,$12.61,$12.70,$13.61,$14.47,$16.52,$16.94
97158,KS,$12.33,$12.57,$13.61,$13.96,$15.46,$15.95,$16.31
97158,KY,$12.28,$12.44,$12.95,$13.61,$15.11,$18.66,$18.78
97158,LA,$13.28,$13.57,$13.57,$13.57,$14.48,$15.34,$15.34
97158,MA,$14.00,$14.66,$15.00,$16.09,$17.21,$18.73,$19.44
97158,MD,$13.61,$13.61,$13.61,$13.61,$15.54,$19.13,$19.91
97158,ME,$10.92,$10.92,$10.92,$10.92,$10.92,$10.92,$10.92
97158,MI,$13.27,$13.61,$13.61,$13.88,$14.80,$16.68,$18.11
97158,MN,$12.80,$14.42,$14.70,$15.92,$15.92,$15.92,$15.92
97158,MO,$12.74,$13.11,$13.61,$13.96,$14.29,$14.92,$15.14
97158,MS,$12.43,$12.43,$12.43,$12.43,$12.77,$12.87,$13.20
97158,MT,$10.04,$10.04,$10.04,$10.61,$10.92,$10.92,$10.92
97158,NC,$11.11,$11.11,$14.27,$14.61,$15.48,$17.35,$18.44
97158,ND,$9.84,$9.84,$9.84,$11.86,$13.05,$13.05,$13.05
97158,NE,$11.82,$11.82,$13.61,$14.29,$16.27,$16.27,$19.53
97158,NH,$13.80,$13.95,$14.44,$15.76,$16.12,$18.32,$18.65
97158,NJ,$13.27,$13.27,$13.61,$13.61,$14.29,$15.69,$18.67
97158,NM,$13.61,$13.76,$13.76,$14.37,$15.80,$16.02,$16.85
